LocationID,State,County,City,FacilityName,Latitude,Longitude
8N2,IL,LA SALLE,OTTAWA,SKYDIVE CHICAGO,41.39977778,-88.79391667
5K1,IL,MACOUPIN,PALMYRA,ZELMER MEMORIAL AIRPARK INC,39.4200475,-89.9912175
PRG,IL,EDGAR,PARIS,EDGAR COUNTY,39.69966667,-87.67077778
1C1,IL,FORD,PAXTON,PAXTON,40.44897889,-88.12773806
C15,IL,TAZEWELL,PEKIN,PEKIN MUNI,40.48819444,-89.67588889
PIA,IL,PEORIA,PEORIA,GENERAL DOWNING - PEORIA INTL,40.66419444,-89.69325
3MY,IL,PEORIA,PEORIA,MOUNT HAWLEY AUXILIARY,40.79580556,-89.61347222
VYS,IL,LA SALLE,PERU,ILLINOIS VALLEY RGNL-WALTER A DUNCAN FIELD,41.35013889,-89.15294444
PJY,IL,PERRY,PINCKNEYVILLE,PINCKNEYVILLE-DU QUOIN,37.97788417,-89.36044889
PPQ,IL,PIKE,PITTSFIELD,PITTSFIELD PENSTONE MUNI,39.63889008,-90.77855897
PNT,IL,LIVINGSTON,PONTIAC,PONTIAC MUNI,40.92444444,-88.62394444
C77,IL,BOONE,POPLAR GROVE,POPLAR GROVE,42.32286111,-88.83630556
UIN,IL,ADAMS,QUINCY,QUINCY RGNL-BALDWIN FIELD,39.94301739,-91.19446336
TIP,IL,CHAMPAIGN,RANTOUL,RANTOUL NATL AVN CNTR-FRANK ELLIOTT FLD,40.29355556,-88.14238889
RSV,IL,CRAWFORD,ROBINSON,CRAWFORD CO,39.01602778,-87.64977778
RPJ,IL,OGLE,ROCHELLE,ROCHELLE MUNI AIRPORT-KORITZ FIELD,41.89263889,-89.07961111
1C8,IL,WINNEBAGO,ROCKFORD,COTTONWOOD,42.29168583,-89.13621833
5K4,IL,SCHUYLER,RUSHVILLE,SCHUY-RUSH,40.11754667,-90.59040528
SLO,IL,MARION,SALEM,SALEM-LECKRONE,38.64287222,-88.96418528
SFY,IL,CARROLL,SAVANNA,TRI-TOWNSHIP,42.04583333,-90.10794444
2H0,IL,SHELBY,SHELBYVILLE,SHELBY COUNTY,39.41060239,-88.84542461
SAR,IL,RANDOLPH,SPARTA,SPARTA COMMUNITY-HUNTER FIELD,38.14886361,-89.69850389
SPI,IL,SANGAMON,SPRINGFIELD,ABRAHAM LINCOLN CAPITAL,39.84422222,-89.67808333
3K6,IL,MADISON,ST JACOB,ST LOUIS METRO-EAST/SHAFER FIELD,38.73290861,-89.80656722
SQI,IL,WHITESIDE,STERLING/ROCKFALLS,WHITESIDE CO ARPT-JOS H BITTORF FLD,41.74283333,-89.67627778
TAZ,IL,CHRISTIAN,TAYLORVILLE,TAYLORVILLE MUNI,39.5325855,-89.33070692
K96,IL,DOUGLAS,TUSCOLA,TUSCOLA,39.78119722,-88.30644583
C16,IL,CHAMPAIGN,URBANA,FRASCA FIELD,40.14639978,-88.19848758
VLA,IL,FAYETTE,VANDALIA,VANDALIA MUNI,38.99130556,-89.16622222
2T2,IL,EFFINGHAM,WATSON,PERCIVAL SPRINGS,39.01444444,-88.53927778
2C6,IL,KNOX,YATES CITY,TRI-COUNTY,40.774,-90.07441667
I99,IN,MADISON,ALEXANDRIA,ALEXANDRIA,40.23251333,-85.63753056
AID,IN,MADISON,ANDERSON,ANDERSON MUNI-DARLINGTON FIELD,40.10861111,-85.613
ANQ,IN,STEUBEN,ANGOLA,TRI-STATE STEUBEN COUNTY,41.63969833,-85.08349333
GWB,IN,DE KALB,AUBURN,DE KALB COUNTY,41.30716667,-85.06436111
HLB,IN,FRANKLIN,BATESVILLE,BATESVILLE,39.34312858,-85.25842569
BFR,IN,LAWRENCE,BEDFORD,VIRGIL I GRISSOM MUNI,38.84002778,-86.44536111
1I3,IN,GREENE,BLOOMFIELD,SHAWNEE FIELD,39.04272222,-87.00275
BMG,IN,MONROE,BLOOMINGTON,MONROE COUNTY,39.14602083,-86.61668047
C40,IN,WELLS,BLUFFTON,MILLER,40.71671333,-85.24997083
I91,IN,WARRICK,BOONVILLE,BOONVILLE,38.04254556,-87.317785
0I2,IN,CLAY,BRAZIL,BRAZIL CLAY COUNTY,39.47673556,-87.09970917
1I7,IN,VERMILLION,CLINTON,CLINTON,39.71200278,-87.40029444
BAK,IN,BARTHOLOMEW,COLUMBUS,COLUMBUS MUNI,39.26191667,-85.89633333
CEV,IN,FAYETTE,CONNERSVILLE,METTEL FIELD,39.69819444,-85.13113889
1I8,IN,MIAMI,CONVERSE,CONVERSE,40.57087278,-85.89165167
CFJ,IN,MONTGOMERY,CRAWFORDSVILLE,CRAWFORDSVILLE MUNI,39.97462778,-86.92107222
1I9,IN,CARROLL,DELPHI,DELPHI MUNI,40.543,-86.68148333
EKM,IN,ELKHART,ELKHART,ELKHART MUNI,41.71940617,-86.00321897
3C1,IN,ELKHART,ELKHART,MISHAWAKA PILOTS CLUB,41.65699306,-86.03472389
78I,IN,PUTNAM,EMINENCE,PAM'S PLACE,39.50164722,-86.68850181
EVV,IN,VANDERBURGH,EVANSVILLE,EVANSVILLE RGNL,38.04080556,-87.5285
3EV,IN,VANDERBURGH,EVANSVILLE,SKYLANE,38.01166667,-87.59472222
5I2,IN,CARROLL,FLORA,FLORA MUNI,40.53975833,-86.54833306
FWA,IN,ALLEN,FORT WAYNE,FORT WAYNE INTL,40.97847222,-85.19516667
SMD,IN,ALLEN,FORT WAYNE,SMITH FIELD,41.14336111,-85.15277778
FKR,IN,CLINTON,FRANKFORT,FRANKFORT MUNI,40.27343083,-86.56217028
3FK,IN,JOHNSON,FRANKLIN,FRANKLIN FLYING FIELD,39.42643889,-86.05832194
FRH,IN,ORANGE,FRENCH LICK,FRENCH LICK MUNI,38.50622222,-86.63694444
5I6,IN,CASS,GALVESTON,GALVESTON,40.584205,-86.25694028
GYY,IN,LAKE,GARY,GARY/CHICAGO INTL,41.61725,-87.41452778
GSH,IN,ELKHART,GOSHEN,GOSHEN MUNI,41.52626403,-85.79416158
4I7,IN,PUTNAM,GREENCASTLE,PUTNAM COUNTY RGNL,39.63352778,-86.81380556
GFD,IN,HANCOCK,GREENFIELD,POPE FIELD,39.79032083,-85.73608861
I34,IN,DECATUR,GREENSBURG,GREENSBURG MUNICIPAL,39.32691111,-85.52252694
05C,IN,LAKE,GRIFFITH,GRIFFITH-MERRILLVILLE,41.519841,-87.39950797
I61,IN,WAYNE,HAGERSTOWN,HAGERSTOWN,39.88916667,-85.16333333
64I,IN,JEFFERSON,HANOVER,LEE BOTTOM,38.63144167,-85.44341944
3HO,IN,LAKE,HOBART,HOBART SKY RANCH,41.55420333,-87.26253583
HNB,IN,DUBOIS,HUNTINGBURG,HUNTINGBURG,38.24902778,-86.95369444
HHG,IN,HUNTINGTON,HUNTINGTON,HUNTINGTON MUNI,40.85291667,-85.45705556
EYE,IN,MARION,INDIANAPOLIS,EAGLE CREEK AIRPARK,39.83071742,-86.29438575
HFY,IN,JOHNSON,INDIANAPOLIS,GREENWOOD MUNI,39.62761111,-86.08802778
2R2,IN,HENDRICKS,INDIANAPOLIS,HENDRICKS COUNTY-GORDON GRAHAM FLD,39.74677778,-86.47516667
TYQ,IN,BOONE,INDIANAPOLIS,INDIANAPOLIS EXECUTIVE,40.03066667,-86.25144444
IND,IN,MARION,INDIANAPOLIS,INDIANAPOLIS INTL,39.71730556,-86.29463889
UMP,IN,HAMILTON,INDIANAPOLIS,INDIANAPOLIS METROPOLITAN,39.93522192,-86.04490992
MQJ,IN,HANCOCK,INDIANAPOLIS,INDIANAPOLIS RGNL,39.84313889,-85.89772222
7L8,IN,MARION,INDIANAPOLIS,POST-AIR,39.75004278,-86.01387111
JVY,IN,CLARK,JEFFERSONVILLE,CLARK RGNL,38.36541667,-85.73819444
C62,IN,NOBLE,KENDALLVILLE,KENDALLVILLE MUNI,41.47271639,-85.26080833
50I,IN,NEWTON,KENTLAND,KENTLAND MUNI,40.75874233,-87.42912531
OXI,IN,STARKE,KNOX,STARKE COUNTY,41.33019444,-86.66480556
8I3,IN,HOWARD,KOKOMO,GLENNDALE,40.43337083,-86.20332722
OKK,IN,HOWARD,KOKOMO,KOKOMO MUNI,40.52765581,-86.05973739
PPO,IN,LA PORTE,LA PORTE,LA PORTE MUNI,41.57247222,-86.7345275
LAF,IN,TIPPECANOE,LAFAYETTE,PURDUE UNIVERSITY,40.41230556,-86.93688889
C98,IN,NEWTON,LAKE VILLAGE,LAKE VILLAGE,41.15003444,-87.46253278
6I4,IN,BOONE,LEBANON,BOONE COUNTY,40.00726361,-86.44055528
GGP,IN,CASS,LOGANSPORT,LOGANSPORT/CASS COUNTY,40.71127778,-86.37269444
C97,IN,LAKE,LOWELL,LOWELL,41.23013889,-87.50769444
IMS,IN,JEFFERSON,MADISON,MADISON MUNI,38.75991667,-85.46469444
MZZ,IN,GRANT,MARION,MARION MUNI,40.48991667,-85.67977778
C92,IN,KOSCIUSKO,MENTONE,MENTONE,41.15004333,-86.06249667
MGC,IN,LA PORTE,MICHIGAN CITY,MICHIGAN CITY MUNI-PHILLIPS FIELD,41.70331694,-86.82124167
MCX,IN,WHITE,MONTICELLO,WHITE COUNTY,40.71019483,-86.76679389
MIE,IN,DELAWARE,MUNCIE,DELAWARE COUNTY RGNL,40.24247222,-85.39575
7I2,IN,DELAWARE,MUNCIE,REESE,40.15421083,-85.31663611
C03,IN,ELKHART,NAPPANEE,NAPPANEE MUNI,41.44615694,-85.93604583
UWL,IN,HENRY,NEW CASTLE,NEW CASTLE-HENRY CO MUNI,39.87585167,-85.32646806
I80,IN,HAMILTON,NOBLESVILLE,NOBLESVILLE,40.0035,-85.96452778
OVO,IN,JENNINGS,NORTH VERNON,NORTH VERNON,39.04533333,-85.60561111
I20,IN,KNOX,OAKTOWN,ED-AIR,38.85149861,-87.49979306
7I4,IN,ORANGE,ORLEANS,ORLEANS,38.65838694,-86.44304417
I42,IN,ORANGE,PAOLI,PAOLI MUNI,38.58545972,-86.46464444
I76,IN,MIAMI,PERU,PERU MUNI,40.78577222,-86.14643333
C65,IN,MARSHALL,PLYMOUTH,PLYMOUTH MUNI,41.36513075,-86.30025744
PLD,IN,JAY,PORTLAND,PORTLAND MUNI,40.45158333,-84.98902778
RZL,IN,JASPER,RENSSELAER,JASPER COUNTY,40.94782367,-87.18264808
RID,IN,WAYNE,RICHMOND,RICHMOND MUNI,39.75608333,-84.84269444
RCR,IN,FULTON,ROCHESTER,FULTON COUNTY,41.06554753,-86.18170289
I83,IN,WASHINGTON,SALEM,SALEM MUNI,38.60200167,-86.13997889
3R8,IN,SCOTT,SCOTTSBURG,SCOTTSBURG,38.65728083,-85.79024556
SER,IN,JACKSON,SEYMOUR,FREEMAN MUNI,38.92469889,-85.90835389
GEZ,IN,SHELBY,SHELBYVILLE,SHELBYVILLE MUNI,39.58313889,-85.80480556
5I4,IN,HAMILTON,SHERIDAN,SHERIDAN,40.17792583,-86.21729889
SBN,IN,ST JOSEPH,SOUTH BEND,SOUTH BEND INTL,41.70822222,-86.31733333
SIV,IN,SULLIVAN,SULLIVAN,SULLIVAN COUNTY,39.1147125,-87.44832917
TEL,IN,PERRY,TELL CITY,PERRY COUNTY MUNI,38.01886111,-86.69241667
3I3,IN,VIGO,TERRE HAUTE,SKY KING,39.54778667,-87.3773525
HUF,IN,VIGO,TERRE HAUTE,TERRE HAUTE INTL-HULMAN FIELD,39.45147222,-87.30758333
4C1,IN,LA PORTE,UNION MILLS,FLYING U RANCH,41.45393083,-86.79224389
VPZ,IN,PORTER,VALPARAISO,PORTER COUNTY RGNL,41.45397222,-87.00708333
8I1,IN,SWITZERLAND,VEVAY,ROBINSON,38.69450639,-85.19828694
IWH,IN,WABASH,WABASH,WABASH MUNI,40.76197222,-85.79875
ASW,IN,KOSCIUSKO,WARSAW,WARSAW MUNI,41.27469444,-85.84005556
DCY,IN,DAVIESS,WASHINGTON,DAVIESS COUNTY,38.70042333,-87.12973222
4C2,IN,DE KALB,WATERLOO,WALKER/ROWE WATERLOO,41.43116139,-84.98163167
I72,IN,HAMILTON,WESTFIELD,WESTFIELD,40.04892639,-86.1577675
RWN,IN,PULASKI,WINAMAC,ARENS FIELD,41.09226306,-86.61287111
I22,IN,RANDOLPH,WINCHESTER,RANDOLPH COUNTY,40.16769444,-84.92938889
K78,KS,DICKINSON,ABILENE,ABILENE MUNI,38.90405556,-97.23586111
ANY,KS,HARPER,ANTHONY,ANTHONY MUNI,37.15852778,-98.07963889
7K6,KS,HARPER,ANTHONY,WILCOX FLD,37.08266667,-97.96447222
2K8,KS,SUMNER,ARGONIA,ARGONIA MUNI,37.27536667,-97.75875
K58,KS,CLARK,ASHLAND,HAROLD KRIER FLD,37.16669361,-99.77512806
K59,KS,ATCHISON,ATCHISON,AMELIA EARHART,39.57052472,-95.18033139
ADT,KS,RAWLINS,ATWOOD,ATWOOD-RAWLINS COUNTY CITY-COUNTY,39.8403385,-101.0424829
3AU,KS,BUTLER,AUGUSTA,AUGUSTA MUNI,37.67163889,-97.07786111
K64,KS,DOUGLAS,BALDWIN CITY,VINLAND VALLEY AERODROME,38.83613056,-95.18203611
07S,KS,BUTLER,BEAUMONT,BEAUMONT HOTEL,37.65930417,-96.52769167
RPB,KS,REPUBLIC,BELLEVILLE,BELLEVILLE MUNI,39.81775972,-97.65958639
K61,KS,MITCHELL,BELOIT,MORITZ MEMORIAL,39.47115222,-98.12878389
1K1,KS,BUTLER,BENTON,LLOYD STEARMAN FIELD,37.77444444,-97.11322222
5K0,KS,CHEYENNE,BIRD CITY,BRESSLER FIELD,39.74413889,-101.5564722
8K0,KS,FORD,BUCKLIN,BUCKLIN,37.54569444,-99.64216667
UKL,KS,COFFEY,BURLINGTON,COFFEY COUNTY,38.30247222,-95.72497222
01K,KS,SUMNER,CALDWELL,CALDWELL MUNI,37.03661111,-97.58555556
CNU,KS,NEOSHO,CHANUTE,CHANUTE MARTIN JOHNSON,37.66788889,-95.48672222
8K8,KS,GRAY,CIMARRON,CIMARRON MUNI,37.83057667,-100.3504222
CYW,KS,CLAY,CLAY CENTER,CLAY CENTER MUNI,39.38713889,-97.15722222
CFV,KS,MONTGOMERY,COFFEYVILLE,COFFEYVILLE MUNI,37.094,-95.572
CBK,KS,THOMAS,COLBY,SHALZ FIELD,39.42744444,-101.0466111
3K8,KS,COMANCHE,COLDWATER,COMANCHE COUNTY,37.22286111,-99.33202778
CNK,KS,CLOUD,CONCORDIA,BLOSSER MUNI,39.54922222,-97.65230556
9K0,KS,CHASE,COTTONWOOD FALLS,COTTONWOOD FALLS,38.35862556,-96.55445167
K63,KS,MORRIS,COUNCIL GROVE,COUNCIL GROVE MUNI,38.67647222,-96.57275
K65,KS,LANE,DIGHTON,DIGHTON,38.48890808,-100.4816716
DDC,KS,FORD,DODGE CITY,DODGE CITY RGNL,37.76311111,-99.96541667
EQA,KS,BUTLER,EL DORADO,EL DORADO/CAPTAIN JACK THOMAS MEMORIAL,37.77411111,-96.81772222
9K6,KS,BUTLER,EL DORADO,PATTY FIELD,37.80044444,-96.79902778
EHA,KS,MORTON,ELKHART,ELKHART-MORTON COUNTY,37.00077778,-101.8800278
1K6,KS,BARTON,ELLINWOOD,ELLINWOOD MUNI,38.37284028,-98.59864306
9K7,KS,ELLSWORTH,ELLSWORTH,ELLSWORTH MUNI,38.75052778,-98.23036111
EMP,KS,LYON,EMPORIA,EMPORIA MUNI,38.33055556,-96.18994444
13K,KS,GREENWOOD,EUREKA,LT WILLIAM M MILLIKEN,37.85161111,-96.29202778
FSK,KS,BOURBON,FORT SCOTT,FORT SCOTT MUNI,37.79836111,-94.76936111
18K,KS,MEADE,FOWLER,FOWLER,37.38427778,-100.1861944
1K7,KS,WILSON,FREDONIA,FREDONIA,37.58069444,-95.83711111
GCK,KS,FINNEY,GARDEN CITY,GARDEN CITY RGNL,37.92752778,-100.7244167
K34,KS,JOHNSON,GARDNER,GARDNER MUNI,38.80676119,-94.95652836
K68,KS,ANDERSON,GARNETT,GARNETT MUNI,38.27735833,-95.21523056
GLD,KS,SHERMAN,GOODLAND,RENNER FLD /GOODLAND MUNI/,39.37063889,-101.699
GBD,KS,BARTON,GREAT BEND,GREAT BEND MUNI,38.34425,-98.85919444
8K2,KS,HARPER,HARPER,HARPER MUNI,37.27818639,-98.04347833
HYS,KS,ELLIS,HAYS,HAYS RGNL,38.84222222,-99.27316667
HRU,KS,MORRIS,HERINGTON,HERINGTON RGNL,38.69472222,-96.80797222
K87,KS,BROWN,HIAWATHA,HIAWATHA MUNI,39.87917,-95.52525972
HLC,KS,GRAHAM,HILL CITY,HILL CITY MUNI,39.38019444,-99.83147222
M66,KS,MARION,HILLSBORO,ALFRED SCHROEDER FIELD,38.34157083,-97.21387222
K91,KS,BROWN,HORTON,HORTON MUNI,39.67916861,-95.53359139
1F5,KS,SHERIDAN,HOXIE,HOXIE-SHERIDAN COUNTY,39.36508333,-100.4380833
HQG,KS,STEVENS,HUGOTON,HUGOTON MUNI,37.16308333,-101.3705278
HUT,KS,RENO,HUTCHINSON,HUTCHINSON RGNL,38.0655,-97.86063889
IDP,KS,MONTGOMERY,INDEPENDENCE,INDEPENDENCE MUNI,37.15792631,-95.77895025
30K,KS,GRAY,INGALLS,INGALLS MUNI,37.90686111,-100.5314167
K88,KS,ALLEN,IOLA,ALLEN COUNTY,37.86822222,-95.38694444
K79,KS,HODGEMAN,JETMORE,JETMORE MUNI,37.98444444,-99.89433333
JHN,KS,STANTON,JOHNSON,STANTON COUNTY MUNI,37.58538889,-101.7323056
3JC,KS,GEARY,JUNCTION CITY,FREEMAN FIELD,39.04333333,-96.84327778
9K8,KS,KINGMAN,KINGMAN,KINGMAN AIRPORT - CLYDE CESSNA FIELD,37.66902778,-98.12388889
33K,KS,EDWARDS,KINSLEY,KINSLEY MUNI,37.90899444,-99.40310556
4KS,KS,BARBER,KIOWA,WALZ,37.04516389,-98.57018056
K94,KS,RUSH,LA CROSSE,RUSH COUNTY,38.54681944,-99.28975
36K,KS,KEARNY,LAKIN,KEARNY COUNTY AIRPORT,37.96944444,-101.2555833
LQR,KS,PAWNEE,LARNED,LARNED-PAWNEE COUNTY,38.20858333,-99.08597222
LWC,KS,DOUGLAS,LAWRENCE,LAWRENCE MUNI,39.01111111,-95.21647222
3K7,KS,WICHITA,LEOTI,MARK HOARD MEMORIAL,38.45797525,-101.3505146
LBL,KS,SEWARD,LIBERAL,LIBERAL MID-AMERICA RGNL,37.04391667,-100.9599722
K71,KS,LINCOLN,LINCOLN,LINCOLN MUNI,39.05806194,-98.16699722
38K,KS,RUSSELL,LUCAS,LUCAS,39.061955,-98.52534417
39K,KS,OSAGE,LYNDON,POMONA LAKE,38.69172222,-95.69016667
LYO,KS,RICE,LYONS,LYONS-RICE COUNTY MUNI,38.34196597,-98.22714464
MHK,KS,RILEY,MANHATTAN,MANHATTAN RGNL,39.14123394,-96.671797
TKO,KS,JEWELL,MANKATO,MANKATO,39.80279,-98.22116194
43K,KS,MARION,MARION,MARION MUNI,38.33761111,-96.98825
MYZ,KS,MARSHALL,MARYSVILLE,MARYSVILLE MUNI,39.85642917,-96.6307125
MPR,KS,MC PHERSON,MC PHERSON,MC PHERSON,38.35244444,-97.69130556
MEJ,KS,MEADE,MEADE,MEADE MUNI,37.27888889,-100.3565556
K51,KS,BARBER,MEDICINE LODGE,MEDICINE LODGE,37.26601661,-98.54806872
45K,KS,OTTAWA,MINNEAPOLIS,MINNEAPOLIS CITY COUNTY,39.09433333,-97.72105556
2K6,KS,ELK,MOLINE,ELK COUNTY,37.38091667,-96.27111111
K17,KS,GRAY,MONTEZUMA,MONTEZUMA MUNI,37.58566667,-100.4701389
47K,KS,MC PHERSON,MOUNDRIDGE,MOUNDRIDGE MUNI,38.20909167,-97.502725
2K7,KS,WILSON,NEODESHA,NEODESHA MUNI,37.43536444,-95.64611889
48K,KS,NESS,NESS CITY,NESS CITY MUNI,38.47110278,-99.90806667
EWK,KS,HARVEY,NEWTON,NEWTON-CITY-COUNTY,38.05707853,-97.27522778
NRN,KS,NORTON,NORTON,NORTON MUNI,39.85047222,-99.89469444
49K,KS,KINGMAN,NORWICH,NORWICH,37.45557389,-97.833665
OEL,KS,LOGAN,OAKLEY,OAKLEY MUNI,39.109945,-100.8164319
OIN,KS,DECATUR,OBERLIN,OBERLIN MUNI,39.83488889,-100.5397778
51K,KS,JOHNSON,OLATHE,CEDAR AIR PARK,38.93109444,-94.88481111
OJC,KS,JOHNSON,OLATHE,JOHNSON COUNTY EXECUTIVE,38.84760194,-94.73758583
IXD,KS,JOHNSON,OLATHE,NEW CENTURY AIRCENTER,38.83091667,-94.89030556
52K,KS,POTTAWATOMIE,ONAGA,CHARLES E GRUTZMACHER MUNI,39.49795,-96.17508333
53K,KS,OSAGE,OSAGE CITY,OSAGE CITY MUNI,38.6334375,-95.80179167
K75,KS,OSBORNE,OSBORNE,OSBORNE MUNI,39.43330556,-98.68002778
